txn_id,customer_id,txn_date,txn_type,amount_pkr,branch,channel,currency,counterparty,is_cross_border,flagged,status
TXN-00001,CUST-0056,2024-03-24,Loan Disbursement,28106.44,Islamabad-Blue Area,ATM,PKR,ENTITY-243,0,0,Pending
TXN-00002,CUST-0183,2024-11-03,Cash Withdrawal,1473276.11,Karachi-Clifton,Branch,AED,ENTITY-080,0,0,Completed
TXN-00003,CUST-0066,2025-01-04,POS Purchase,630560.79,Karachi-Clifton,ATM,PKR,ENTITY-241,0,1,Pending
TXN-00004,CUST-0114,2024-10-17,POS Purchase,397782.86,Faisalabad-Central,Branch,AED,ENTITY-256,0,0,Completed
TXN-00005,CUST-0173,2024-07-08,Cash Withdrawal,27492.83,Karachi-Clifton,ATM,PKR,ENTITY-001,0,0,Completed
TXN-00006,CUST-0111,2024-09-19,Wire Transfer,540861.43,Karachi-Clifton,ATM,PKR,ENTITY-394,0,1,Completed
TXN-00007,CUST-0148,2024-12-29,Cash Withdrawal,141396.73,Karachi-Main,Branch,PKR,ENTITY-280,0,0,Completed
TXN-00008,CUST-0084,2024-12-18,POS Purchase,160518.42,Islamabad-Blue Area,Online,PKR,ENTITY-126,0,0,Completed
TXN-00009,CUST-0025,2024-09-29,Cash Deposit,672765.01,Quetta-Branch,ATM,AED,ENTITY-051,0,1,Pending
TXN-00010,CUST-0058,2024-03-20,ATM Withdrawal,511.78,Faisalabad-Central,Branch,PKR,ENTITY-498,0,0,Pending
TXN-00011,CUST-0019,2024-04-19,Loan Disbursement,26884.66,Karachi-Clifton,Online,PKR,ENTITY-329,0,0,Reversed
TXN-00012,CUST-0069,2025-03-31,Loan Disbursement,124706.26,Karachi-Main,Branch,AED,ENTITY-008,0,0,Completed
TXN-00013,CUST-0018,2025-03-24,Loan Disbursement,37884.61,Lahore-Gulberg,POS,PKR,ENTITY-455,0,0,Pending
TXN-00014,CUST-0181,2024-08-16,Loan Disbursement,82550.24,Faisalabad-Central,POS,PKR,ENTITY-159,0,0,Pending
TXN-00015,CUST-0032,2024-01-01,IBFT,59094.14,Islamabad-Blue Area,ATM,USD,ENTITY-130,0,0,Completed
TXN-00016,CUST-0078,2025-01-06,IBFT,27961.86,Karachi-Clifton,Branch,PKR,ENTITY-408,0,1,Completed
TXN-00017,CUST-0148,2025-03-08,Bill Payment,177916.72,Karachi-Main,Mobile App,PKR,ENTITY-108,1,0,Completed
TXN-00018,CUST-0186,2025-02-15,Wire Transfer,108808.77,Islamabad-Blue Area,Mobile App,PKR,ENTITY-364,0,1,Reversed
